,treatment
GSM4153783,bevacizumab_differentiated
GSM4153789,bevacizumab_differentiated
GSM4153794,standard_differentiated
GSM4153796,standard_differentiated
GSM4153811,bevacizumab_differentiated
GSM4153819,bevacizumab_differentiated
GSM4153829,standard_differentiated
GSM4153832,standard_differentiated
GSM4153835,standard_differentiated
GSM4153847,bevacizumab_differentiated
GSM4153848,bevacizumab_differentiated
GSM4153849,bevacizumab_differentiated
GSM4153861,standard_differentiated
GSM4153865,standard_differentiated
GSM4153866,bevacizumab_differentiated
GSM4153871,bevacizumab_differentiated
GSM4153877,bevacizumab_differentiated
GSM4153889,bevacizumab_differentiated
GSM4153890,standard_differentiated
GSM4153899,bevacizumab_differentiated
GSM4153900,standard_differentiated
GSM4153907,bevacizumab_differentiated
GSM4153912,standard_differentiated
GSM4153913,standard_differentiated
GSM4153916,standard_differentiated
GSM4153917,bevacizumab_differentiated
GSM4153918,standard_differentiated
GSM4153920,standard_differentiated
GSM4153925,bevacizumab_differentiated
GSM4153927,standard_differentiated
GSM4153928,bevacizumab_differentiated
GSM4153936,standard_differentiated
GSM4153938,standard_differentiated
GSM4153940,standard_differentiated
GSM4153947,bevacizumab_differentiated
GSM4153952,bevacizumab_differentiated
GSM4153954,standard_differentiated
GSM4153957,standard_differentiated
GSM4153962,standard_differentiated
GSM4153970,standard_differentiated
GSM4153983,standard_differentiated
GSM4153996,standard_differentiated
GSM4153999,bevacizumab_differentiated
GSM4154001,bevacizumab_differentiated
GSM4154003,bevacizumab_differentiated
GSM4154004,bevacizumab_differentiated
GSM4154014,bevacizumab_differentiated
GSM4154016,standard_differentiated
GSM4154018,bevacizumab_differentiated
GSM4154019,standard_differentiated
GSM4154022,bevacizumab_differentiated
GSM4154033,bevacizumab_differentiated
GSM4154034,standard_differentiated
GSM4154037,standard_differentiated
GSM4154047,standard_differentiated
GSM4154048,standard_differentiated
GSM4154051,bevacizumab_differentiated
GSM4154052,bevacizumab_differentiated
GSM4154058,bevacizumab_differentiated
GSM4154073,standard_differentiated
GSM4154075,bevacizumab_differentiated
GSM4154076,bevacizumab_differentiated
GSM4154078,bevacizumab_differentiated
GSM4154080,standard_differentiated
GSM4154086,bevacizumab_differentiated
GSM4154087,bevacizumab_differentiated
GSM4154091,standard_differentiated
GSM4154098,bevacizumab_differentiated
GSM4154099,bevacizumab_differentiated
GSM4154100,standard_differentiated
GSM4154102,standard_differentiated
GSM4154104,bevacizumab_differentiated
GSM4154108,bevacizumab_differentiated
GSM4154110,bevacizumab_differentiated
GSM4154112,standard_differentiated
GSM4154118,standard_differentiated
GSM4154128,standard_differentiated
GSM4154129,bevacizumab_differentiated
GSM4154136,standard_differentiated
GSM4154142,standard_differentiated
GSM4154144,bevacizumab_differentiated
GSM4154146,bevacizumab_differentiated
GSM4154148,standard_differentiated
GSM4154150,standard_differentiated
GSM4154151,bevacizumab_differentiated
GSM4154157,standard_differentiated
